X,Y,Colcode
14,1,#619eb7
15,1,#65a5be
16,1,#65a5be
14,2,#81d3f4
15,2,#81d3f4
16,2,#81d3f4
17,2,#81d3f4
18,2,#7ac7e7
14,3,#81d3f4
15,3,#81d3f4
16,3,#81d3f4
17,3,#81d3f4
18,3,#81d3f4
19,3,#81d3f4
20,3,#81d3f4
14,4,#81d3f4
15,4,#81d3f4
16,4,#81d3f4
17,4,#81d3f4
18,4,#81d3f4
19,4,#81d3f4
20,4,#81d3f4
21,4,#f2aa55
22,4,#f2aa55
23,4,#f2aa55
24,4,#f2aa55
25,4,#f2aa55
26,4,#f2aa55
27,4,#f2aa55
28,4,#c7c4c2
14,5,#81d3f4
15,5,#81d3f4
16,5,#81d3f4
17,5,#81d3f4
18,5,#81d3f4
19,5,#81d3f4
20,5,#81d3f4
21,5,#f2aa55
22,5,#f2aa55
23,5,#f2aa55
24,5,#f2aa55
25,5,#f2aa55
26,5,#f2aa55
27,5,#f2aa55
28,5,#7b562b
13,6,#0b1215
14,6,#81d3f4
15,6,#81d3f4
16,6,#81d3f4
17,6,#81d3f4
18,6,#81d3f4
19,6,#81d3f4
20,6,#81d3f4
21,6,#f2aa55
22,6,#f2aa55
23,6,#f2aa55
24,6,#f2aa55
25,6,#f2aa55
26,6,#f2aa55
13,7,#6cb0cc
14,7,#81d3f4
15,7,#81d3f4
16,7,#81d3f4
17,7,#81d3f4
18,7,#81d3f4
19,7,#81d3f4
20,7,#81d3f4
21,7,#81d3f4
22,7,#81d3f4
23,7,#f2aa55
24,7,#f2aa55
25,7,#f2aa55
26,7,#ca8e47
10,8,#efefef
11,8,#81d3f4
12,8,#81d3f4
13,8,#81d3f4
14,8,#81d3f4
15,8,#81d3f4
16,8,#81d3f4
17,8,#81d3f4
18,8,#81d3f4
19,8,#81d3f4
20,8,#81d3f4
21,8,#81d3f4
22,8,#81d3f4
23,8,#f2aa55
24,8,#f2aa55
25,8,#f2aa55
26,8,#f2aa55
10,9,#416c7c
11,9,#81d3f4
12,9,#81d3f4
13,9,#81d3f4
14,9,#81d3f4
15,9,#81d3f4
16,9,#81d3f4
17,9,#81d3f4
18,9,#81d3f4
19,9,#81d3f4
20,9,#f2aa55
21,9,#f2aa55
22,9,#f2aa55
23,9,#f2aa55
24,9,#f2aa55
25,9,#f2aa55
26,9,#f2aa55
27,9,#211c16
