X,Y,Colcode
11,1,#81d3f4
12,1,#81d3f4
13,1,#81d3f4
11,2,#81d3f4
12,2,#81d3f4
13,2,#81d3f4
14,2,#81d3f4
15,2,#81d3f4
16,2,#81d3f4
11,3,#81d3f4
12,3,#81d3f4
13,3,#81d3f4
14,3,#81d3f4
15,3,#81d3f4
16,3,#81d3f4
17,3,#ca8e47
18,3,#f2aa55
19,3,#f2aa55
20,3,#f2aa55
21,3,#f2aa55
22,3,#f2aa55
11,4,#81d3f4
12,4,#81d3f4
13,4,#81d3f4
14,4,#81d3f4
15,4,#81d3f4
16,4,#81d3f4
17,4,#f2aa55
18,4,#f2aa55
19,4,#f2aa55
20,4,#f2aa55
21,4,#f2aa55
22,4,#f2aa55
11,5,#81d3f4
12,5,#81d3f4
13,5,#81d3f4
14,5,#81d3f4
15,5,#81d3f4
16,5,#81d3f4
17,5,#283c41
18,5,#7b562b
19,5,#f2aa55
20,5,#f2aa55
21,5,#7b562b
10,6,#223841
11,6,#81d3f4
12,6,#81d3f4
13,6,#81d3f4
14,6,#81d3f4
15,6,#81d3f4
16,6,#81d3f4
17,6,#81d3f4
18,6,#f2aa55
19,6,#f2aa55
20,6,#f2aa55
21,6,#150f07
8,7,#81d3f4
9,7,#81d3f4
10,7,#81d3f4
11,7,#81d3f4
12,7,#81d3f4
13,7,#81d3f4
14,7,#81d3f4
15,7,#81d3f4
16,7,#f2aa55
17,7,#bc8544
18,7,#f2aa55
19,7,#f2aa55
20,7,#f2aa55
21,7,#f2aa55
22,7,#f2aa55
23,7,#f2aa55
7,8,#81d3f4
8,8,#81d3f4
9,8,#81d3f4
10,8,#81d3f4
11,8,#81d3f4
12,8,#81d3f4
13,8,#81d3f4
14,8,#81d3f4
15,8,#81d3f4
16,8,#f2aa55
17,8,#f2aa55
18,8,#f2aa55
19,8,#f2aa55
20,8,#f2aa55
21,8,#f2aa55
22,8,#f2aa55
23,8,#f2aa55
6,9,#81d3f4
7,9,#81d3f4
8,9,#81d3f4
9,9,#81d3f4
10,9,#81d3f4
11,9,#81d3f4
12,9,#81d3f4
13,9,#81d3f4
14,9,#81d3f4
15,9,#81d3f4
16,9,#81d3f4
17,9,#f2aa55
18,9,#f2aa55
19,9,#f2aa55
20,9,#f2aa55
21,9,#f2aa55
22,9,#f2aa55
23,9,#f2aa55
33,9,#e5c8dc
5,10,#81d3f4
6,10,#81d3f4
7,10,#81d3f4
8,10,#81d3f4
9,10,#81d3f4
10,10,#81d3f4
11,10,#81d3f4
12,10,#81d3f4
13,10,#81d3f4
14,10,#81d3f4
15,10,#81d3f4
16,10,#81d3f4
17,10,#81d3f4
18,10,#f2aa55
19,10,#f2aa55
20,10,#f2aa55
