X,Y,Colcode
57,5,#bfbfbf
58,5,#bfbfbf
59,5,#bfbfbf
60,5,#bfbfbf
61,5,#c2c4c5
62,5,#20353d
63,5,#20353d
64,5,#343737
65,5,#c3c6c7
66,5,#c2c4c5
56,6,#434545
57,6,#81d3f4
58,6,#81d3f4
59,6,#81d3f4
60,6,#81d3f4
61,6,#81d3f4
62,6,#81d3f4
63,6,#81d3f4
64,6,#81d3f4
65,6,#81d3f4
66,6,#81d3f4
67,6,#333535
56,7,#65a5be
57,7,#81d3f4
58,7,#81d3f4
59,7,#81d3f4
60,7,#81d3f4
61,7,#81d3f4
62,7,#81d3f4
63,7,#81d3f4
64,7,#81d3f4
65,7,#81d3f4
66,7,#81d3f4
67,7,#81d3f4
68,7,#65a5be
69,7,#21373f
55,8,#404040
56,8,#81d3f4
57,8,#81d3f4
58,8,#81d3f4
59,8,#81d3f4
60,8,#81d3f4
61,8,#81d3f4
62,8,#81d3f4
63,8,#81d3f4
64,8,#81d3f4
65,8,#81d3f4
66,8,#81d3f4
67,8,#81d3f4
68,8,#81d3f4
69,8,#81d3f4
70,8,#192930
55,9,#484f51
56,9,#81d3f4
57,9,#81d3f4
58,9,#81d3f4
59,9,#81d3f4
60,9,#81d3f4
61,9,#81d3f4
62,9,#81d3f4
63,9,#81d3f4
64,9,#81d3f4
65,9,#81d3f4
66,9,#81d3f4
67,9,#81d3f4
68,9,#81d3f4
69,9,#81d3f4
70,9,#81d3f4
71,9,#62a0b9
72,9,#619eb7
73,9,#65a5be
74,9,#c2c4c5
55,10,#484f51
56,10,#81d3f4
57,10,#81d3f4
58,10,#81d3f4
59,10,#81d3f4
60,10,#81d3f4
61,10,#81d3f4
62,10,#81d3f4
63,10,#81d3f4
64,10,#81d3f4
65,10,#81d3f4
66,10,#81d3f4
67,10,#81d3f4
68,10,#81d3f4
69,10,#81d3f4
70,10,#81d3f4
71,10,#81d3f4
72,10,#81d3f4
73,10,#81d3f4
74,10,#81d3f4
75,10,#81d3f4
76,10,#939697
77,10,#343737
78,10,#cfcfcf
56,11,#81d3f4
57,11,#81d3f4
58,11,#81d3f4
59,11,#81d3f4
60,11,#81d3f4
61,11,#81d3f4
62,11,#81d3f4
63,11,#81d3f4
64,11,#81d3f4
65,11,#81d3f4
66,11,#81d3f4
67,11,#81d3f4
68,11,#81d3f4
69,11,#81d3f4
70,11,#81d3f4
71,11,#81d3f4
72,11,#81d3f4
73,11,#81d3f4
74,11,#81d3f4
75,11,#81d3f4
76,11,#81d3f4
77,11,#81d3f4
78,11,#6cb0cc
79,11,#2c4954
80,11,#cfcfcf
82,11,#bfbfbf
83,11,#cfcfcf
56,12,#81d3f4
57,12,#81d3f4
