"日付","トランザクションの種類","注文番号","商品の詳細","商品価格合計","プロモーション割引合計","Amazon手数料","その他","合計 (JPY)"
"2025/6/20","注文に対する支払い","503-1423566-9003807","メンズ スポーツ サンダル アウトドア 厚底 レジャー 作業 靴 外履き 室内 ...","2709","0","-903","241","2047"
"2025/6/19","注文に対する支払い","503-4670632-0118237","呪術廻戦 18 (ジャンプコミックス)","422","0","-230","37","229"
"2025/6/19","注文に対する支払い","503-8761786-6167061","レディース ギャル コスプレ セクシー スカート デニム マイクロ ミニ かわい...","2255","0","-246","200","2209"
"2025/6/19","注文に対する支払い","503-0852260-5591011","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2073","0","-812","184","1445"
"2025/6/19","注文に対する支払い","250-1099567-3923041","レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マ...","1800","0","-491","160","1469"
"2025/6/17","注文に対する支払い","503-8421877-4514248","サンダル クロッグ スリッパ サボ キッズ 子供 女の子 男の子 海 水遊び 軽...","1264","0","-647","112","729"
"2025/6/17","返金","503-8421877-4514248","サンダル クロッグ スリッパ サボ キッズ 子供 女の子 男の子 海 水遊び 軽...","-1264","0","163","-112","-1213"
"2025/6/15","注文に対する支払い","249-0426585-8895067","メンズ デニム 作業着 ストレッチ スキニー 大きい サイズ パンツ ジーンズ ...","2345","0","-822","209","1732"
"2025/6/15","注文に対する支払い","S03-6842833-1447030","釣り 交換用 リール ハンドル 軽量 合金性 高耐久 パワー シングル パーツ ...","0","0","-630","0","-630"
"2025/6/15","注文に対する支払い","249-6548789-4655032","レディース スウェット 上下 セット トレーナー ジャージ 部屋着 ゆったり 無...","2436","0","-350","217","2303"
"2025/6/14","注文に対する支払い","503-7183048-1295839","レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マ...","1800","0","-333","160","1627"
"2025/6/14","注文に対する支払い","250-8962574-4463852","メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショ...","3345","0","-481","298","3162"
"2025/6/14","注文に対する支払い","503-9984277-1675807","メンズ デニム 作業着 ストレッチ スキニー 大きい サイズ パンツ ジーンズ ...","2345","0","-822","209","1732"
"2025/6/14","注文に対する支払い","503-7703474-0555060","釣り 交換用 リール ハンドル 軽量 合金性 高耐久 パワー シングル パーツ ...","3055","0","-1188","271","2138"
"2025/6/14","注文に対する支払い","249-0030050-5293460","メンズ 多機能 作業着 カーゴ パンツ ポケット ロング カジュアル ワイド ズ...","1891","0","-304","168","1755"
"2025/6/13","マーケットプレイス配送サービス","503-1512529-8768668","請求","-168","0","0","-17","-185"
"2025/6/13","注文に対する支払い","249-9952075-2955004","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2073","0","-812","184","1445"
"2025/6/13","注文に対する支払い","249-9316838-5067827","呪術廻戦 18 (ジャンプコミックス)","422","0","-230","37","229"
"2025/6/13","Amazonに支払う額 | 出品者からの返済額","---","---","0","0","0","4932","4932"
"2025/6/11","マーケットプレイス配送サービス","503-4670632-0118237","請求","-160","0","0","-16","-176"
"2025/6/9","サービス料金","---","納品時の輸送手数料","0","0","0","-1714","-1714"
"2025/6/9","注文に対する支払い","250-8753143-0194260","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2073","-207","-781","163","1248"
"2025/6/7","サービス料金","---","FBA保管手数料：","0","0","0","-184","-184"
"2025/6/4","マーケットプレイス配送サービス","249-9316838-5067827","請求","-160","0","0","-16","-176"
"2025/6/4","注文に対する支払い","249-6524028-2500612","レディース サンダル 厚底 スポーツ マジックテープ 幅広 立ち仕事 ランニング...","2436","-244","-800","193","1585"
"2025/6/4","サービス料金","1443508b-a97d-4fd6-85c8-5413f616f51d","","0","0","0","-66","-66"
"2025/6/3","注文に対する支払い","249-8249256-2095853","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2073","0","-812","184","1445"
"2025/6/3","注文に対する支払い","249-9102202-5653459","メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショ...","2709","-84","-812","325","2138"
"2025/6/3","注文に対する支払い","503-7942346-8947828","釣り 交換用 リール ハンドル 軽量 合金性 高耐久 パワー シングル パーツ ...","1527","-153","-659","121","836"
"2025/6/2","注文に対する支払い","250-1867710-9581402","メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショ...","2709","-271","-835","214","1817"
"2025/6/2","サービス料金","---","月額登録料：","0","0","-5390","0","-5390"
"2025/6/2","サービス料金","---","広告費用","0","0","-10214","0","-10214"
"2025/6/1","注文に対する支払い","250-4893858-1365422","メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショ...","2709","-271","-350","214","2302"
"2025/6/1","注文に対する支払い","503-8867948-9969449","メンズ 厚底 サンダル 作業 靴 ビーチ 軽量 スポーティー 日常 レジャー フ...","2527","0","-877","225","1875"
