"日付","トランザクションの種類","注文番号","商品の詳細","商品価格合計","プロモーション割引合計","Amazon手数料","その他","合計 (JPY)"
"2025/6/30","サービス料金","2506231PX9","FBA在庫の返送手数料","0","0","-620","0","-620"
"2025/6/30","サービス料金","2506231PX9","FBA在庫の返送手数料","0","0","-130","0","-130"
"2025/6/29","返金","250-1552328-8552657","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","-2436","0","315","-217","-2338"
"2025/6/29","注文に対する支払い","503-8748151-8035839","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","1541","0","-586","137","1092"
"2025/6/28","注文に対する支払い","250-1552328-8552657","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2436","0","-864","217","1789"
"2025/6/28","注文に対する支払い","503-5099243-3249444","ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライ...","2227","-112","-520","187","1782"
"2025/6/27","注文に対する支払い","249-4603937-7258256","最強ジャンプ (2月号)","1636","0","-768","2082","2950"
"2025/6/26","サービス料金","2506211MMT","FBA在庫の返送手数料","0","0","-180","0","-180"
"2025/6/26","サービス料金","2506211MMT","FBA在庫の返送手数料","0","0","-1340","0","-1340"
"2025/6/25","注文に対する支払い","S03-7917807-9488639","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","0","0","-887","0","-887"
"2025/6/24","注文に対する支払い","503-1413203-0778255","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2073","0","-812","184","1445"
"2025/6/22","サービス料金","---","納品時の輸送手数料","0","0","0","-1121","-1121"
"2025/6/22","サービス料金","---","納品時の輸送手数料","0","0","0","-1121","-1121"
"2025/6/21","注文に対する支払い","250-3234468-2113441","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2073","0","-812","184","1445"
"2025/6/21","注文に対する支払い","503-1512529-8768668","呪術廻戦 18 (ジャンプコミックス)","422","0","-230","37","229"
"2025/6/20","マーケットプレイス配送サービス","503-8748151-8035839","請求","-168","0","0","-17","-185"
"2025/6/20","注文に対する支払い","249-3534055-2260617","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2073","0","-812","184","1445"
