"日付","トランザクションの種類","注文番号","商品の詳細","商品価格合計","プロモーション割引合計","Amazon手数料","その他","合計 (JPY)"
"2025/7/31","注文に対する支払い","503-5422691-8700612","サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 ...","2709","0","-903","241","2047"
"2025/7/31","返金","503-5422691-8700612","サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 ...","-2709","0","350","-241","-2600"
"2025/7/31","マーケットプレイス配送サービス","503-3048504-3287808","請求","-168","0","0","-17","-185"
"2025/7/31","注文に対する支払い","503-0943695-8884624","[CALM.st] ヘンリーネック Tシャツ 半袖 レディース 綿麻 サラサラ ...","1527","-153","-132","121","1363"
"2025/7/31","サービス料金","---","納品時の輸送手数料","0","0","0","-762","-762"
"2025/7/31","注文に対する支払い","503-2543644-6598205","[CALM.st] ヘンリーネック Tシャツ 半袖 レディース 綿麻 サラサラ ...","1527","0","-146","136","1517"
"2025/7/30","注文に対する支払い","249-3264578-0866233","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","782","0","-295","69","556"
"2025/7/30","注文に対する支払い","249-1390547-0458258","[CALM.st] サンダル 厚底 作業 靴 メンズ ビーチ 軽量 スポーティー...","2618","0","-890","233","1961"
"2025/7/29","注文に対する支払い","250-0253389-9191004","サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 ...","2709","-271","-864","214","1788"
"2025/7/29","マーケットプレイス配送サービス","250-3609085-0643026","請求","-168","0","0","-17","-185"
"2025/7/29","注文に対する支払い","250-0500360-1634229","[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソ...","3500","-350","-966","276","2460"
"2025/7/29","注文に対する支払い","503-7628981-8707069","ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 ...","1436","-144","-651","114","755"
"2025/7/28","サービス料金","---","納品時の輸送手数料","0","0","0","-1121","-1121"
"2025/7/28","返金","250-9628724-1503828","[CALM.st] レディース ファスナー 膝下 スカート ミモレ 通年 タイト...","-1800","180","140","-142","-1622"
"2025/7/28","注文に対する支払い","250-9628724-1503828","[CALM.st] レディース ファスナー 膝下 スカート ミモレ 通年 タイト...","1800","-180","-473","142","1289"
"2025/7/28","注文に対する支払い","250-8413982-8007861","[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩...","1527","-153","-450","121","1045"
"2025/7/28","注文に対する支払い","250-2916999-9100657","[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソ...","3345","-335","-946","265","2329"
"2025/7/28","サービス料金","2507152CX","FBA在庫の返送手数料","0","0","-270","0","-270"
"2025/7/28","サービス料金","2507152CX","FBA在庫の返送手数料","0","0","-90","0","-90"
"2025/7/28","サービス料金","2507152CX","FBA在庫の返送手数料","0","0","-1593","0","-1593"
"2025/7/27","注文に対する支払い","503-7064750-9354242","ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 ...","1436","0","-672","128","892"
"2025/7/27","サービス料金","250713193X","FBA在庫の返送手数料","0","0","-1130","0","-1130"
"2025/7/27","サービス料金","250713193X","FBA在庫の返送手数料","0","0","-810","0","-810"
"2025/7/27","サービス料金","2507251TSN","FBA在庫の返送手数料","0","0","-90","0","-90"
"2025/7/27","注文に対する支払い","249-6481126-6726229","[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソ...","3255","0","-982","289","2562"
"2025/7/27","注文に対する支払い","249-1012533-7539047","ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 ...","1436","0","-672","128","892"
"2025/7/27","注文に対する支払い","250-4531336-7902263","[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整...","3182","-319","-724","252","2391"
"2025/7/26","注文に対する支払い","503-6192077-0395806","[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整...","2227","-223","-509","176","1671"
"2025/7/26","サービス料金","---","納品時の輸送手数料","0","0","0","-762","-762"
"2025/7/26","注文に対する支払い","249-4918862-0547865","[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 U...","1709","-1709","-321","0","-321"
"2025/7/25","マーケットプレイス配送サービス","249-2209676-9300655","請求","-168","0","0","-17","-185"
"2025/7/24","注文に対する支払い","250-3168128-8040667","[CALM.st] レディース サンダル 厚底 スポーツ マジックテープ 幅広 ...","2709","-2709","-518","0","-518"
"2025/7/24","返金","249-0518917-4720667","ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 ...","-1437","144","167","-113","-1239"
