"日付","トランザクションの種類","注文番号","商品の詳細","商品価格合計","プロモーション割引合計","Amazon手数料","その他","合計 (JPY)"
"2025/7/24","マーケットプレイス配送サービス","249-2053678-3917462","請求","-168","0","0","-17","-185"
"2025/7/24","注文に対する支払い","503-8741848-1180654","[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩...","1527","-153","-450","121","1045"
"2025/7/24","注文に対する支払い","503-7490106-0294265","[CALM.st] ヘンリーネック Tシャツ 半袖 レディース 綿麻 サラサラ ...","1527","0","-146","136","1517"
"2025/7/23","注文に対する支払い","249-0342493-8657460","[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整...","2227","0","-531","198","1894"
"2025/7/23","注文に対する支払い","S03-9847299-1767810","[CALM.st] サンダル 厚底 作業 靴 メンズ ビーチ 軽量 スポーティー...","0","0","-810","0","-810"
"2025/7/23","注文に対する支払い","250-2309623-1334234","[CALM.st] レディース サンダル 厚底 スポーツ マジックテープ 幅広 ...","2709","-2709","-518","0","-518"
"2025/7/22","注文に対する支払い","503-8871886-0336652","ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 ...","1436","-144","-651","114","755"
"2025/7/22","注文に対する支払い","249-0902691-8448630","[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 U...","1709","-1709","-321","0","-321"
"2025/7/22","マーケットプレイス配送サービス","249-3264578-0866233","請求","-168","0","0","-17","-185"
"2025/7/22","マーケットプレイス配送サービス","503-0943695-8884624","請求","-168","0","0","-17","-185"
"2025/7/22","マーケットプレイス配送サービス","503-2543644-6598205","請求","-168","0","0","-17","-185"
"2025/7/22","注文に対する支払い","503-0802345-0077455","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","782","0","-295","69","556"
"2025/7/22","注文に対する支払い","503-6309672-8268655","[CALM.st] メンズ トート バッグ 大容量 ビジネス 軽量 2way シ...","4091","-4091","-547","0","-547"
"2025/7/21","注文に対する支払い","249-0518917-4720667","ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 ...","2873","-288","-1302","227","1510"
"2025/7/21","注文に対する支払い","249-0726075-4919034","ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 ...","1436","-249","-651","219","755"
"2025/7/20","注文に対する支払い","503-8640238-4772660","[CALM.st] シフォン ブラウス レディース 長袖 無地 ゆったり オフィ...","2255","-2255","-351","0","-351"
"2025/7/20","注文に対する支払い","250-6882826-7915017","[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整...","2227","-223","-509","176","1671"
"2025/7/20","注文に対する支払い","249-7613002-2277429","サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 ...","2709","-453","-864","396","1788"
"2025/7/20","注文に対する支払い","249-2608210-3643857","[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 ...","1709","0","-730","152","1131"
"2025/7/19","注文に対する支払い","503-2912754-6989438","[CALM.st] サンダル 厚底 作業 靴 メンズ ビーチ 軽量 スポーティー...","2618","-2618","-547","0","-547"
"2025/7/19","注文に対する支払い","503-7172353-2139804","[CALM.st] サテン キャミソール レディース インナー スクエアネック ...","1527","-153","-450","121","1045"
"2025/7/19","注文に対する支払い","503-1006564-7493448","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","1545","0","-587","138","1096"
"2025/7/19","サービス料金","fd5335a3-9652-4d5a-be3a-bbbcbba2fb29","クーポンパフォーマンスに基づく料金","0","0","-172","0","-172"
"2025/7/19","サービス料金","fd5335a3-9652-4d5a-be3a-bbbcbba2fb29","クーポン参加料金","0","0","-165","0","-165"
"2025/7/18","注文に対する支払い","249-3935801-3661451","ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライ...","3182","0","-1295","893","2780"
"2025/7/18","注文に対する支払い","249-8694964-9443836","[CALM.st] サテン キャミソール レディース インナー スクエアネック ...","1527","-153","-450","121","1045"
"2025/7/18","注文に対する支払い","503-6773806-5662265","[CALM.st] メンズ トート バッグ 大容量 ビジネス 軽量 2way シ...","2255","0","-839","200","1616"
"2025/7/16","注文に対する支払い","250-8482052-0173451","サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 ...","2709","0","-903","241","2047"
"2025/7/16","注文に対する支払い","250-5653995-8891018","[CALM.st] ブラウス レディース スクエア ネック シャツ 長袖 ボリュ...","1527","0","-464","136","1199"
"2025/7/15","マーケットプレイス配送サービス","503-7490106-0294265","請求","-168","0","0","-17","-185"
"2025/7/15","注文に対する支払い","250-9841470-0679848","[CALM.st] サテン キャミソール レディース インナー スクエアネック ...","1527","-76","-457","128","1122"
"2025/7/14","マーケットプレイス配送サービス","503-0802345-0077455","請求","-168","0","0","-17","-185"
"2025/7/13","注文に対する支払い","249-4155718-4144621","サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 ...","2709","-135","-884","227","1917"
"2025/7/12","注文に対する支払い","249-2806715-7584607","[CALM.st] レディース ファスナー 膝下 スカート ミモレ 通年 タイト...","1800","0","-491","160","1469"
"2025/7/12","返金","249-4155718-4144621","サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 ...","-2709","135","333","-227","-2468"
"2025/7/12","注文に対する支払い","250-8706895-3561410","[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩...","1527","0","-464","136","1199"
"2025/7/11","返金","250-8706895-3561410","[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩...","-1527","0","132","-136","-1531"
"2025/7/11","注文に対する支払い","249-7830100-1003808","[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 ...","1709","0","-504","152","1357"
"2025/7/11","Amazonに支払う額 | 出品者からの返済額","---","---","0","0","0","11638","11638"
"2025/7/10","マーケットプレイス配送サービス","503-1006564-7493448","請求","-168","0","0","-17","-185"
"2025/7/10","注文に対する支払い","250-7688515-6372651","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","777","0","-294","69","552"
"2025/7/10","注文に対する支払い","249-4244965-7249457","[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 ...","1709","0","-730","152","1131"
"2025/7/9","在庫の払い戻し","S03-4827088-8497060","FBA在庫の返金","0","0","0","849","849"
"2025/7/8","サービス料金","---","納品時の輸送手数料","0","0","0","-857","-857"
"2025/7/8","注文に対する支払い","503-0588607-7996638","[CALM.st] ブラウス レディース スクエア ネック シャツ 長袖 ボリュ...","1527","-1527","-351","0","-351"
"2025/7/8","注文に対する支払い","503-1927843-5479013","[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 ...","1709","0","-730","152","1131"
"2025/7/7","注文に対する支払い","503-1927843-5479013","[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 ...","1709","0","-730","152","1131"
"2025/7/7","サービス料金","---","納品時の輸送手数料","0","0","0","-1121","-1121"
"2025/7/7","サービス料金","2507015Q4","","0","0","0","0","0"
"2025/7/7","注文に対する支払い","250-1383332-1830242","[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソ...","3500","-3500","-547","0","-547"
"2025/7/7","注文に対する支払い","249-4715941-3653458","[CALM.st] サテン キャミソール レディース インナー スクエアネック ...","1527","-1527","-351","0","-351"
"2025/7/7","注文に対する支払い","250-2215929-4311065","[CALM.st] メンズ トート バッグ 大容量 ビジネス 軽量 2way シ...","3345","-3345","-547","0","-547"
"2025/7/7","注文に対する支払い","249-9441093-5987838","[CALM.st] サテン ナイト ガウン レース レディース Vネック 大きい...","1527","-1527","-351","0","-351"
"2025/7/7","注文に対する支払い","503-1784533-1935808","[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 ...","1709","-1709","-518","0","-518"
"2025/7/7","サービス料金","---","FBA保管手数料：","0","0","0","-675","-675"
"2025/7/7","注文に対する支払い","249-1003181-3677467","[CALM.st] レディース ファスナー 膝下 スカート ミモレ 通年 タイト...","1800","-1800","-351","0","-351"
"2025/7/6","注文に対する支払い","503-2243991-1994217","[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整...","2227","-2227","-351","0","-351"
"2025/7/6","注文に対する支払い","503-7942323-6517463","[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩...","1527","-1527","-351","0","-351"
"2025/7/6","注文に対する支払い","250-6856817-3480621","[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソ...","3500","-3500","-547","0","-547"
"2025/7/6","注文に対する支払い","250-2056710-8994268","[CALM.st] レディース ファスナー 膝下 スカート ミモレ 通年 タイト...","1800","-1800","-351","0","-351"
"2025/7/6","注文に対する支払い","249-1201838-8364645","[CALM.st] サテン キャミソール レディース インナー スクエアネック ...","1527","-1527","-351","0","-351"
"2025/7/6","注文に対する支払い","249-1077340-6427869","[CALM.st] サテン ナイト ガウン レース レディース Vネック 大きい...","1527","-1527","-351","0","-351"
"2025/7/6","注文に対する支払い","250-1563502-9379825","サンダル クロッグ スリッパ サボ キッズ 子供 女の子 男の子 海 水遊び 軽...","1264","0","-647","112","729"
"2025/7/5","注文に対する支払い","503-7327604-2224630","[CALM.st] ブラウス レディース スクエア ネック シャツ 長袖 ボリュ...","1527","-1527","-351","0","-351"
"2025/7/5","注文に対する支払い","250-2779520-5232633","[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩...","1527","-1527","-351","0","-351"
"2025/7/5","注文に対する支払い","503-2765533-7538217","[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 ...","1709","-1709","-518","0","-518"
"2025/7/5","注文に対する支払い","503-2657752-3435801","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2073","0","-812","184","1445"
"2025/7/5","注文に対する支払い","250-1057807-7471028","[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整...","2227","-2227","-351","0","-351"
"2025/7/3","サービス料金","2506283UJ","","0","0","0","0","0"
"2025/7/3","サービス料金","2506283UJ","FBA在庫の返送手数料","0","0","-2490","0","-2490"
"2025/7/3","サービス料金","25062817DE","","0","0","0","0","0"
"2025/7/3","サービス料金","25062817DE","","0","0","0","0","0"
"2025/7/2","マーケットプレイス配送サービス","250-7688515-6372651","請求","-168","0","0","-17","-185"
"2025/7/2","注文に対する支払い","249-2805803-4261461","薬屋のひとりごと(15) (ビッグガンガンコミックス)","674","0","-668","2231","2237"
"2025/7/2","サービス料金","---","月額登録料：","0","0","-5390","0","-5390"
"2025/7/2","注文に対する支払い","250-5802980-8520648","サンダル クロッグ スリッパ サボ キッズ 子供 女の子 男の子 海 水遊び 軽...","1264","-64","-638","106","668"
"2025/7/2","サービス料金","---","広告費用","0","0","-8506","0","-8506"
"2025/7/1","注文に対する支払い","249-4357439-3911838","ビジネス バッグ 大容量 2WAY メンズ 軽量 撥水 パソコン 収納 就活 通...","2255","-113","-822","189","1509"
"2025/7/1","注文に対する支払い","503-9068483-7963050","メンズ 厚底 サンダル 作業 靴 ビーチ 軽量 スポーティー 日常 レジャー フ...","2345","0","-851","209","1703"
