"日付","トランザクションの種類","注文番号","商品の詳細","商品価格合計","プロモーション割引合計","Amazon手数料","その他","合計 (JPY)"
"2025/4/30","注文に対する支払い","503-7627678-1053459","レディース スウェット 上下 セット トレーナー ジャージ 部屋着 ゆったり 無...","2255","0","-730","200","1725"
"2025/4/29","マーケットプレイス配送サービス","503-1473254-0364656","請求","-160","0","0","-16","-176"
"2025/4/29","注文に対する支払い","249-5428248-3979850","レディース キャミ ワンピース 夏 薄手 ロング 肩ひも調整 マタニティ Aライ...","2227","0","-531","198","1894"
"2025/4/28","注文に対する支払い","250-5467603-1038253","レディース ワンピース ロング丈 セットアップ ニット 異素材 切替 長袖 大き...","3436","0","-461","306","3281"
"2025/4/28","注文に対する支払い","503-7881668-0071847","レディース スウェット 上下 セット トレーナー ジャージ 部屋着 ゆったり 無...","2255","0","-557","200","1898"
"2025/4/28","注文に対する支払い","249-9540052-6354264","レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マ...","1800","0","-173","160","1787"
"2025/4/27","マーケットプレイス配送サービス","503-6693187-5781450","請求","-160","0","0","-16","-176"
"2025/4/27","注文に対する支払い","249-2312036-3672642","呪術廻戦 18 (ジャンプコミックス), 呪術廻戦 19 (ジャンプコミックス)","844","0","-460","74","458"
"2025/4/27","注文に対する支払い","249-1955094-4715001","レディース ミニ スカート ミニスカ コスプレ Aライン ベルト インナー 付き...","1817","0","-659","162","1320"
"2025/4/26","注文に対する支払い","249-9667289-4546210","レディース ミニ スカート ミニスカ コスプレ Aライン ベルト インナー 付き...","1817","-70","-659","232","1320"
"2025/4/25","注文に対する支払い","503-7493760-0810259","ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通...","3500","0","-503","311","3308"
"2025/4/25","注文に対する支払い","503-9715111-5211022","メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショ...","2527","0","-823","685","2389"
"2025/4/25","注文に対する支払い","250-5352826-7909444","呪術廻戦 18 (ジャンプコミックス), 呪術廻戦 19 (ジャンプコミックス)","844","0","-460","74","458"
"2025/4/24","注文に対する支払い","250-4510143-8009464","ジャンプGIGA 2024 AUTUMN","2073","0","-3951","2401","523"
"2025/4/24","マーケットプレイス配送サービス","250-8295245-6833433","請求","-160","0","0","-16","-176"
"2025/4/22","注文に対する支払い","249-6645253-0551804","メンズ デニム 作業着 ストレッチ スキニー 大きい サイズ パンツ ジーンズ ...","2618","0","-861","233","1990"
"2025/4/22","注文に対する支払い","503-4786294-2278230","レディース メッシュ シューズ ランニング トレーニング スポーツ 作業 軽量 ...","1436","0","-672","128","892"
"2025/4/21","サービス料金","---","納品時の輸送手数料","0","0","0","-855","-855"
"2025/4/20","注文に対する支払い","503-3441634-1571027","レディース ワンピース 長袖 ラウンドネック シンプル きれいめ ドレス おでか...","2618","0","-841","233","2010"
"2025/4/19","マーケットプレイス配送サービス","249-2312036-3672642","請求","-160","0","0","-16","-176"
"2025/4/19","注文に対する支払い","250-3672447-4139821","メンズ デニム 作業着 ストレッチ スキニー 大きい サイズ パンツ ジーンズ ...","2618","0","-664","233","2187"
"2025/4/19","注文に対する支払い","503-4189240-2773433","ブルーロック(28) (少年マガジンKC)","522","0","-509","1794","1807"
"2025/4/17","注文に対する支払い","250-3207899-4680627","レディース ネグリジェ 姫系 長袖 パジャマ ルーム ウェア フリル セクシー ...","1800","0","-638","160","1322"
"2025/4/17","返金","250-3207899-4680627","レディース ネグリジェ 姫系 長袖 パジャマ ルーム ウェア フリル セクシー ...","-1800","0","155","-160","-1805"
"2025/4/17","マーケットプレイス配送サービス","250-5352826-7909444","請求","-160","0","0","-16","-176"
"2025/4/17","注文に対する支払い","503-0545702-2926254","レディース キャミ ワンピース 夏 薄手 ロング 肩ひも調整 マタニティ Aライ...","2164","-418","-525","610","1831"
"2025/4/17","注文に対する支払い","250-7384588-4340608","レディース キャミ ワンピース 夏 薄手 ロング 肩ひも調整 マタニティ Aライ...","2164","0","-525","192","1831"
"2025/4/16","注文に対する支払い","503-7936599-9826258","呪術廻戦 18 (ジャンプコミックス)","422","0","-164","37","295"
"2025/4/14","注文に対する支払い","250-5876975-4732647","レディース キャミ ワンピース 夏 薄手 ロング 肩ひも調整 マタニティ Aライ...","2227","0","-531","198","1894"
"2025/4/14","注文に対する支払い","250-6154712-2975824","レディース ネグリジェ 姫系 長袖 パジャマ ルーム ウェア フリル セクシー ...","1800","0","-638","160","1322"
"2025/4/14","サービス料金","---","納品時の輸送手数料","0","0","0","-857","-857"
"2025/4/13","サービス料金","---","納品時の輸送手数料","0","0","0","-1121","-1121"
"2025/4/11","注文に対する支払い","249-8570942-7709431","Vジャンプ (10月号)","891","0","-249","79","721"
"2025/4/10","注文に対する支払い","S03-9728213-4259830","メンズ デニム 作業着 ストレッチ スキニー 大きい サイズ パンツ ジーンズ ...","0","0","-520","0","-520"
"2025/4/10","注文に対する支払い","S03-9728213-4259830","メンズ デニム 作業着 ストレッチ スキニー 大きい サイズ パンツ ジーンズ ...","0","0","-520","0","-520"
"2025/4/9","注文に対する支払い","249-7935701-6085448","薬屋のひとりごと(14) (ビッグガンガンコミックス)","664","0","-323","759","1100"
"2025/4/9","注文に対する支払い","503-8374984-2858257","レディース キャミ ワンピース 夏 薄手 ロング 肩ひも調整 マタニティ Aライ...","2227","0","-531","198","1894"
"2025/4/8","注文に対する支払い","250-1524821-2772641","レディース キャミ ワンピース 夏 薄手 ロング 肩ひも調整 マタニティ Aライ...","2227","0","-531","198","1894"
"2025/4/8","注文に対する支払い","249-6822845-6073437","ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通...","3500","0","-1017","311","2794"
"2025/4/8","マーケットプレイス配送サービス","503-7936599-9826258","請求","-160","0","0","-16","-176"
"2025/4/7","注文に対する支払い","503-9252349-2573455","薬屋のひとりごと(14) (ビッグガンガンコミックス)","664","0","-323","759","1100"
"2025/4/7","サービス料金","---","納品時の輸送手数料","0","0","0","-857","-857"
"2025/4/7","注文に対する支払い","250-5697629-6452633","呪術廻戦 18 (ジャンプコミックス), 呪術廻戦 19 (ジャンプコミックス)","844","0","-328","74","590"
"2025/4/7","サービス料金","---","FBA保管手数料：","0","0","0","-19","-19"
"2025/4/5","注文に対する支払い","503-6228890-8669452","メンズ デニム 作業着 ストレッチ スキニー 大きい サイズ パンツ ジーンズ ...","2982","0","-903","265","2344"
"2025/4/4","注文に対する支払い","503-3881741-2026256","ONE PIECE 106 (ジャンプコミックス)","455","0","-564","2222","2113"
"2025/4/3","マーケットプレイス配送サービス","249-8570942-7709431","請求","-160","0","0","-16","-176"
