"日付","トランザクションの種類","注文番号","商品の詳細","商品価格合計","プロモーション割引合計","Amazon手数料","その他","合計 (JPY)"
"2025/3/7","注文に対する支払い","503-6654694-3799021","ウルトラジャンプ 2023年 03 月号 [雑誌]","1909","0","-563","970","2316"
"2025/3/7","注文に対する支払い","503-4332412-6739854","呪術廻戦 18 (ジャンプコミックス), 呪術廻戦 19 (ジャンプコミックス)","844","0","-328","74","590"
"2025/3/6","マーケットプレイス配送サービス","503-9219054-7183867","請求","-160","0","0","-16","-176"
"2025/3/6","注文に対する支払い","249-9150037-7126269","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","2332","0","-684","206","1854"
"2025/3/4","マーケットプレイス配送サービス","250-3263658-6943816","請求","-160","0","0","-16","-176"
"2025/3/2","サービス料金","---","納品時の輸送手数料","0","0","0","-1121","-1121"
"2025/3/2","注文に対する支払い","249-8937735-4719847","ダンダダン 18 (ジャンプコミックス)","536","0","-301","748","983"
"2025/3/2","サービス料金","---","月額登録料：","0","0","-5390","0","-5390"
"2025/3/1","注文に対する支払い","250-9339469-0543829","呪術廻戦 14 (ジャンプコミックス), 呪術廻戦 19 (ジャンプコミックス)...","1265","0","-492","112","885"
"2025/3/1","注文に対する支払い","249-2472499-5873416","Dyson(ダイソン) ドライヤー Dyson Airwrap™マルチスタイラー...","81818","0","-15662","13100","79256"
