"日付","トランザクションの種類","注文番号","商品の詳細","商品価格合計","プロモーション割引合計","Amazon手数料","その他","合計 (JPY)"
"2025/5/31","サービス料金","---","納品時の輸送手数料","0","0","0","-1121","-1121"
"2025/5/31","サービス料金","1443508b-a97d-4fd6-85c8-5413f616f51d","","0","0","0","-66","-66"
"2025/5/30","注文に対する支払い","250-6961871-8938265","レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 夏...","1436","-144","-411","114","995"
"2025/5/30","サービス料金","1443508b-a97d-4fd6-85c8-5413f616f51d","","0","0","0","-66","-66"
"2025/5/29","注文に対する支払い","250-2445448-5927809","メンズ スポーツ サンダル アウトドア 厚底 レジャー 作業 靴 外履き 室内 ...","2709","-271","-864","214","1788"
"2025/5/29","注文に対する支払い","249-8757024-5935855","レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 夏...","1618","-162","-458","128","1126"
"2025/5/29","注文に対する支払い","249-3145491-1251055","レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 夏...","1618","0","-473","144","1289"
"2025/5/29","サービス料金","1443508b-a97d-4fd6-85c8-5413f616f51d","","0","0","0","-66","-66"
"2025/5/28","注文に対する支払い","503-7428766-2367817","ONE PIECE 106 (ジャンプコミックス)","481","0","-670","2524","2335"
"2025/5/27","注文に対する支払い","249-0949944-9206257","呪術廻戦 18 (ジャンプコミックス)","422","0","-230","37","229"
"2025/5/27","注文に対する支払い","503-3654691-2140648","ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通...","3500","-490","-452","416","2974"
"2025/5/27","サービス料金","1443508b-a97d-4fd6-85c8-5413f616f51d","","0","0","0","-66","-66"
"2025/5/26","注文に対する支払い","249-0088079-9336675","レディース サンダル 厚底 スポーツ マジックテープ 幅広 立ち仕事 ランニング...","2436","-244","-800","193","1585"
"2025/5/25","注文に対する支払い","249-6934151-7227844","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","6205","0","-2350","549","4404"
"2025/5/25","注文に対する支払い","503-8911771-9659864","メンズ 厚底 サンダル 作業 靴 ビーチ 軽量 スポーティー 日常 レジャー フ...","2527","0","-877","225","1875"
"2025/5/25","サービス料金","1443508b-a97d-4fd6-85c8-5413f616f51d","","0","0","0","-198","-198"
"2025/5/24","注文に対する支払い","249-8072338-6878231","レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 夏...","1436","-144","-441","114","965"
"2025/5/24","注文に対する支払い","250-8663212-3755808","レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷...","1618","-162","-458","128","1126"
"2025/5/23","注文に対する支払い","249-1108892-6783038","レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷...","1618","0","-473","144","1289"
"2025/5/23","注文に対する支払い","249-5552420-2915866","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2073","-416","-781","372","1248"
"2025/5/23","注文に対する支払い","250-0818662-0770248","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2073","-207","-781","163","1248"
"2025/5/22","注文に対する支払い","503-9503907-2744644","メンズ 厚底 サンダル 作業 靴 ビーチ 軽量 スポーティー 日常 レジャー フ...","2527","-253","-841","200","1633"
"2025/5/22","注文に対する支払い","250-4758534-7521431","ブラウス レディース スクエア ネック シャツ 長袖 ボリューム 襟なし 体型カ...","1436","0","-456","128","1108"
"2025/5/22","サービス料金","2505181A33","","0","0","0","0","0"
"2025/5/22","サービス料金","2505181A33","","0","0","0","0","0"
"2025/5/22","サービス料金","2505181A33","","0","0","0","0","0"
"2025/5/22","サービス料金","2505181A33","","0","0","0","0","0"
"2025/5/22","注文に対する支払い","250-4481399-9182208","メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通...","2073","-207","-781","163","1248"
"2025/5/22","返金","250-4758534-7521431","ブラウス レディース スクエア ネック シャツ 長袖 ボリューム 襟なし 体型カ...","-1436","0","124","-128","-1440"
"2025/5/22","サービス料金","1443508b-a97d-4fd6-85c8-5413f616f51d","","0","0","0","-132","-132"
"2025/5/22","注文に対する支払い","250-6477586-3797463","最強ジャンプ (2月号)","1546","0","-563","937","1920"
"2025/5/21","注文に対する支払い","250-4614293-4679057","レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷...","1618","0","-473","144","1289"
"2025/5/21","注文に対する支払い","503-3139344-5622261","バンダイ公認 ONE PIECE CARD GAME 1st ANNIVERSA...","3125","0","-1286","2587","4426"
"2025/5/21","注文に対する支払い","249-1405487-7991037","レディース サンダル 厚底 スポーツ マジックテープ 幅広 立ち仕事 ランニング...","2436","-244","-800","193","1585"
