"日付","トランザクションの種類","注文番号","商品の詳細","商品価格合計","プロモーション割引合計","Amazon手数料","その他","合計 (JPY)"
"2025/2/28","マーケットプレイス配送サービス","249-1398253-6006223","請求","-350","0","0","-35","-385"
"2025/2/27","マーケットプレイス配送サービス","249-7551414-4069458","請求","-379","0","0","-38","-417"
"2025/2/27","マーケットプレイス配送サービス","249-5503973-9901428","請求","-160","0","0","-16","-176"
"2025/2/27","注文に対する支払い","249-6275953-7402250","少年ジャンプ(13) 2024年 3/11 号 [雑誌]","273","0","-270","824","827"
"2025/2/26","マーケットプレイス配送サービス","249-8047356-7092668","請求","-339","0","0","-34","-373"
"2025/2/26","マーケットプレイス配送サービス","503-3899242-1682239","請求","-463","0","0","-46","-509"
"2025/2/26","マーケットプレイス配送サービス","250-3604546-4283000","請求","-463","0","0","-46","-509"
"2025/2/26","マーケットプレイス配送サービス","503-4332412-6739854","請求","-160","0","0","-16","-176"
"2025/2/26","マーケットプレイス配送サービス","503-4341882-8071050","請求","-510","0","0","-51","-561"
"2025/2/26","マーケットプレイス配送サービス","249-9150037-7126269","請求","-339","0","0","-34","-373"
"2025/2/26","マーケットプレイス配送サービス","503-6654694-3799021","請求","-425","0","0","-43","-468"
"2025/2/26","注文に対する支払い","249-8652087-6972623","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","1555","0","-456","137","1236"
"2025/2/26","注文に対する支払い","249-8268255-1716616","極彩色 東京卍リベンジャーズ Brilliant Full Color Edit...","1555","0","-456","137","1236"
"2025/2/26","注文に対する支払い","250-1004545-2570216","宇崎ちゃんは遊びたい! 12 (ドラゴンコミックスエイジ)","667","0","-208","60","519"
"2025/2/21","注文に対する支払い","503-4910984-1355020","最強ジャンプ (1月号)","1637","0","-514","945","2068"
"2025/2/21","マーケットプレイス配送サービス","250-9339469-0543829","請求","-379","0","0","-38","-417"
"2025/2/21","マーケットプレイス配送サービス","249-8937735-4719847","請求","-160","0","0","-16","-176"
"2025/2/21","注文に対する支払い","249-7096337-1468649","陰の実力者になりたくて! (12) (角川コミックス・エース)","657","0","-206","59","510"
"2025/2/20","注文に対する支払い","250-1992929-8250263","【推しの子】 15 (ヤングジャンプコミックス)","697","0","-213","62","546"
"2025/2/20","注文に対する支払い","249-6935580-4667835","ブルーピリオド(15) (アフタヌーンKC)","891","0","-365","779","1305"
"2025/2/19","マーケットプレイス配送サービス","249-6275953-7402250","請求","-463","0","0","-46","-509"
"2025/2/19","注文に対する支払い","250-2903142-0233443","【推しの子】 15 (ヤングジャンプコミックス)","697","0","-213","62","546"
"2025/2/18","注文に対する支払い","249-2901129-0811861","チェンソーマン 12 (ジャンプコミックス), チェンソーマン 14 (ジャンプ...","2269","0","-848","202","1623"
"2025/2/18","注文に対する支払い","503-5769755-5845431","The JOJOLands 4 (ジャンプコミックス)","502","0","-178","44","368"
"2025/2/18","注文に対する支払い","503-6778538-5651856","最強ジャンプ 2023年 10 月号 [雑誌]","1118","0","-289","100","929"
"2025/2/18","注文に対する支払い","503-7005234-4711869","The JOJOLands 3 (ジャンプコミックス)","462","0","-171","41","332"
"2025/2/17","マーケットプレイス配送サービス","249-8268255-1716616","請求","-160","0","0","-16","-176"
"2025/2/17","マーケットプレイス配送サービス","250-1004545-2570216","請求","-160","0","0","-16","-176"
"2025/2/17","マーケットプレイス配送サービス","249-8652087-6972623","請求","-160","0","0","-16","-176"
"2025/2/17","注文に対する支払い","249-3272528-0819058","The JOJOLands 3 (ジャンプコミックス)","462","0","-171","41","332"
"2025/2/16","注文に対する支払い","250-5640021-5129409","The JOJOLands 3 (ジャンプコミックス)","462","0","-171","41","332"
"2025/2/16","注文に対する支払い","249-2507178-2416616","悪役令嬢転生おじさん 6 (6巻) (YKコミックス)","655","0","-322","758","1091"
"2025/2/15","注文に対する支払い","250-1346709-6455838","ワンパンマン 31 (ジャンプコミックス)","522","0","-182","46","386"
"2025/2/15","注文に対する支払い","503-6825404-6045421","悪役令嬢転生おじさん 6 (6巻) (YKコミックス)","655","0","-322","758","1091"
"2025/2/14","マーケットプレイス配送サービス","249-2181329-1238226","請求","-379","0","0","-38","-417"
"2025/2/14","注文に対する支払い","503-6317443-2164642","ワンパンマン 29 (ジャンプコミックス)","462","0","-171","41","332"
"2025/2/13","マーケットプレイス配送サービス","503-4910984-1355020","請求","-379","0","0","-38","-417"
"2025/2/12","マーケットプレイス配送サービス","250-1992929-8250263","請求","-160","0","0","-16","-176"
"2025/2/12","マーケットプレイス配送サービス","249-6935580-4667835","請求","-160","0","0","-16","-176"
"2025/2/12","マーケットプレイス配送サービス","249-7096337-1468649","請求","-160","0","0","-16","-176"
"2025/2/12","注文に対する支払い","503-6935217-6585442","俺は全てを【パリイ】する ~逆勘違いの世界最強は冒険者の夢をみる~ (4) (ア...","642","0","-204","57","495"
"2025/2/12","注文に対する支払い","250-9675456-7191025","薬屋のひとりごと(13) (ビッグガンガンコミックス)","677","0","-210","61","528"
"2025/2/11","注文に対する支払い","249-9772426-9487061","薬屋のひとりごと(12) (ビッグガンガンコミックス)","677","0","-210","61","528"
"2025/2/11","注文に対する支払い","503-5518137-2211815","最強ジャンプ (9月号)","1364","0","-465","921","1820"
"2025/2/11","注文に対する支払い","503-1389934-9826232","ワンパンマン 29 (ジャンプコミックス)","462","0","-171","41","332"
"2025/2/11","注文に対する支払い","503-7859104-4732649","最強ジャンプ (6月号)","727","0","-351","865","1241"
"2025/2/11","注文に対する支払い","250-6753582-2571822","呪術廻戦 19 (ジャンプコミックス), 呪術廻戦 16 (ジャンプコミックス)","844","0","-328","74","590"
"2025/2/10","注文に対する支払い","503-5759775-4359064","呪術廻戦 16 (ジャンプコミックス), 呪術廻戦 19 (ジャンプコミックス)...","1265","0","-492","112","885"
"2025/2/10","マーケットプレイス配送サービス","250-2903142-0233443","請求","-160","0","0","-16","-176"
"2025/2/10","注文に対する支払い","250-5769202-6226217","ブルーロック(30) (少年マガジンKC)","473","0","-289","742","926"
"2025/2/10","注文に対する支払い","249-3935817-8564611","ブルーロック(24) (少年マガジンKC)","455","0","-285","740","910"
"2025/2/9","注文に対する支払い","503-4724890-0025425","ブルーロック(30) (少年マガジンKC)","473","0","-289","742","926"
"2025/2/9","注文に対する支払い","503-5319449-8183047","ブルーロック(30) (少年マガジンKC)","473","0","-289","742","926"
"2025/2/9","マーケットプレイス配送サービス","249-3272528-0819058","請求","-160","0","0","-16","-176"
"2025/2/9","マーケットプレイス配送サービス","503-5769755-5845431","請求","-160","0","0","-16","-176"
"2025/2/9","マーケットプレイス配送サービス","503-7005234-4711869","請求","-160","0","0","-16","-176"
"2025/2/9","注文に対する支払い","503-8697114-3142211","The JOJOLands 4 (ジャンプコミックス)","502","0","-178","44","368"
"2025/2/9","注文に対する支払い","250-0655064-9922201","最強ジャンプ (9月号)","1364","0","-465","921","1820"
"2025/2/9","注文に対する支払い","503-8510788-5051069","呪術廻戦 20 (ジャンプコミックス)","422","0","-164","37","295"
"2025/2/9","注文に対する支払い","503-2943554-1059024","ブルーロック(27) (少年マガジンKC)","482","0","-175","43","350"
"2025/2/9","注文に対する支払い","250-3538563-8699013","怪獣8号 13 (ジャンプコミックス)","542","0","-186","48","404"
"2025/2/8","注文に対する支払い","250-1006641-5663013","呪術廻戦 18 (ジャンプコミックス), 呪術廻戦 17 (ジャンプコミックス)...","1265","0","-492","112","885"
"2025/2/7","注文に対する支払い","250-4107018-8784616","ダンダダン 17 (ジャンプコミックス), ダンダダン 18 (ジャンプコミック...","1093","0","-1236","4904","4761"
"2025/2/7","マーケットプレイス配送サービス","250-5640021-5129409","請求","-160","0","0","-16","-176"
"2025/2/7","マーケットプレイス配送サービス","249-2507178-2416616","請求","-160","0","0","-16","-176"
"2025/2/7","マーケットプレイス配送サービス","503-6778538-5651856","請求","-379","0","0","-38","-417"
"2025/2/7","注文に対する支払い","249-3504610-2167058","最強ジャンプ (9月号)","1364","0","-465","921","1820"
"2025/2/7","注文に対する支払い","503-2564610-1491818","ダンダダン 1 (ジャンプコミックス)","891","0","-679","2690","2902"
"2025/2/7","マーケットプレイス配送サービス","250-1346709-6455838","請求","-160","0","0","-16","-176"
"2025/2/7","マーケットプレイス配送サービス","503-6825404-6045421","請求","-160","0","0","-16","-176"
"2025/2/7","マーケットプレイス配送サービス","249-2901129-0811861","請求","-350","0","0","-35","-385"
"2025/2/6","注文に対する支払い","250-8526927-5719857","怪獣8号 12 (ジャンプコミックス)","502","0","-178","44","368"
"2025/2/6","マーケットプレイス配送サービス","503-6317443-2164642","請求","-160","0","0","-16","-176"
"2025/2/5","注文に対する支払い","249-3052195-1054249","Dyson(ダイソン) ドライヤー Dyson Airwrap™マルチスタイラー...","83636","0","-15463","10080","78253"
"2025/2/4","注文に対する支払い","249-0525985-0100612","ブルーピリオド(15) (アフタヌーンKC)","891","0","-365","779","1305"
"2025/2/4","注文に対する支払い","249-4315740-1496620","呪術廻戦 18 (ジャンプコミックス)","422","0","-164","37","295"
"2025/2/3","マーケットプレイス配送サービス","503-1389934-9826232","請求","-160","0","0","-16","-176"
"2025/2/3","マーケットプレイス配送サービス","249-0068856-7642252","請求","-160","0","0","-16","-176"
"2025/2/3","マーケットプレイス配送サービス","503-6935217-6585442","請求","-160","0","0","-16","-176"
"2025/2/3","マーケットプレイス配送サービス","249-9772426-9487061","請求","-160","0","0","-16","-176"
"2025/2/3","マーケットプレイス配送サービス","250-9675456-7191025","請求","-160","0","0","-16","-176"
"2025/2/3","マーケットプレイス配送サービス","503-5518137-2211815","請求","-379","0","0","-38","-417"
"2025/2/3","注文に対する支払い","503-2588421-3750266","SPY×FAMILY 10 (ジャンプコミックス)","455","0","-169","40","326"
"2025/2/2","マーケットプレイス配送サービス","503-5759775-4359064","請求","-350","0","0","-35","-385"
"2025/2/2","マーケットプレイス配送サービス","250-6753582-2571822","請求","-160","0","0","-16","-176"
"2025/2/2","マーケットプレイス配送サービス","503-7859104-4732649","請求","-350","0","0","-35","-385"
"2025/2/2","注文に対する支払い","249-1544946-8662208","Vジャンプ 2024年 01 月号 [雑誌]","1228","0","-440","908","1696"
